ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE
26950,1989,231,Spektakle fabularne TV,Reguiem dla zakonnicy. Azyl,,,,,,"Tł. Wacław Niepokólczycki, Zofia Kierszys. Adapt. pt. ""...I odpuść nam nasze winy..."" i reż.: Maciej Dutkiewicz. II, 12 I 1989, 70'; [powtórna emisja:] 24 VII",
26951,1989,231,Spektakle fabularne TV,Bajki,,,,,,"Reż. Anna Minkiewicz. I, 28 V 1989, 33'. Prem. 1986",
26952,1989,231,Spektakle fabularne TV,Gospoda pod Królową Gęsią Nóżką,,,,,,"Tł. Jan Sten. Adapt. Lucyna Tychowa. Reż. Stanisław Wohl. I, 25 III 1989, 123'. Prem. 1971",
26953,1989,231,Spektakle fabularne TV,Zaczarowana dorożka. Wybór poezji,,,,,,"Oprac. Krystyna Koczara. Reż. Barbara Sałacka. II, 27 I 1989, 37'",
26954,1989,231,Spektakle fabularne TV,Ławeczka,,,,,,"Tł. Jerzy Koenig. Reż. Maciej Wojtyszko. I, 10 VII 1989, 80'. Prem. 1988",
26955,1989,231,Spektakle fabularne TV,Płaszcz,,,,,,"Tł. i adapt. Julian Tuwim. Reż. Ryszard Ber. I, 4 XI 1989, 96'. Prem. 1979",
26956,1989,231,Spektakle fabularne TV,Historia Witolda Gombrowicza,,,,,,"Wybór tekstów. Oprac. Waldemar Żyszkiewicz. Reż. Andrzej Maj. II, 8 VI 1989, 74'",
26957,1989,231,Spektakle fabularne TV,Kosmos,,,,,,"Adapt. i reż. Eugeniusz Korin. II, 21 X 1989, 143'",
26958,1989,231,Spektakle fabularne TV,Obłomow,,,,,,"Tł. Franciszek Rawita-Gawroński. Adapt. i reż. Tadeusz Junak. I, 2 XII 1989, 105'. Prem. 1977",
26959,1989,231,Spektakle fabularne TV,"Hotel ""Pod Kulą Ziemską""",,,,,,"Reż. Wojciech Biedroń. II, 6 IV 1989, 50'",
26960,1989,231,Spektakle fabularne TV,Totentantz in Polen,,,,,,"Sc. Stanisław Grabowski. Reż. Włodzimierz Grzywacz. I, 31 VIII 1989, 23'",
26961,1989,231,Spektakle fabularne TV,Dwie Dorotki,,,,,,"Wg baśni Jacoba Grimma, Wilhelma Grimma, aniny. Porazińskiej. Reż. aut. I, 26 XII 1989, 71'",
26962,1989,231,Spektakle fabularne TV,Przygody dobrego wojaka Szwejka,,,,,,"Cz. 1-7. Tł. Paweł Hulka. Adapt. pt. ""Spotkania ze Szwejkiem"": Irena Bołtuć. Reż. Paweł Trzaska. I, 15 VII 1989, 16'; 22 VII 1989, 13'; 29 VII 1989, 19'; 5 VIII 1989, 15'; 12 VIII 1989, 14'; 26 VIII 1989, 18'; 2 IX 1989, 21'",
26963,1989,231,Spektakle fabularne TV,Paragraf 22,,,,,,"Adapt. pt. ""Paragraf 4"". Tł. Lech Jęczmyk. Sc. i reż. Marek Piwowski. I, 25 XI 1989, 76'. Prem. 1981",
26964,1989,231,Spektakle fabularne TV,Dwaj panowie B,,,,,,"Reż. Janusz Majewski. I, 25 XII 1989, 96'",
26965,1989,231,Spektakle fabularne TV,Wiersze i piosenki ze sceny Teatru Ateneum,,,,,,"Oprac. Zofia Kudła-Brzostek. Reż. Wojciech Młynarski. II, 25 III 1989, 60'",
26966,1989,231,Spektakle fabularne TV,Namiętności,,,,,,"Adapt. i reż. Piotr Szczerski. II, 9 II 1989, 34'",
26967,1989,231,Spektakle fabularne TV,Ludzie cesarza,,,,,,"Reż. Marek Okopiński. II, 13 VII 1989, 80'",
26968,1989,231,Spektakle fabularne TV,Upiory,,,,,,"Tł. Jacek Fruehling. Reż. Rudolf Zioło. I, 18 IX 1989, 100'",
26969,1989,231,Spektakle fabularne TV,Szaleństwo we dwoje,,,,,,"Tł. Jan Kott. Reż. Stanisław Mączyński. II, 18 V 1989, 47'",
26970,1989,231,Spektakle fabularne TV,Kongres we Florencji,,,,,,"Reż. Wojciech Solarz. I, 13 V 1989, 86'. Prem. 1986",
26971,1989,231,Spektakle fabularne TV,Opowiadanie z kotem,,,,,,"Adapt. i reż. Krzysztof Rogulski. I, 16 XII 1989, 31'. Prem. 1980",
26972,1989,231,Spektakle fabularne TV,Opowiadanie z psem,,,,,,"Adapt. i reż. Stanisław Brejdygant. I, 27 V 1989, 46'. Prem. 1977",
26973,1989,231,Spektakle fabularne TV,Sława i chwała,,,,,,"Cz. 1-4. Adapt. i reż. Lidia Zamkow. I, 9 IX 1989, 80'; 16 IX 1989, 80'; 23 IX 1989, 84'; 30 IX 1989, 99 '. Prem. 1974",
26974,1989,231,Spektakle fabularne TV,Flisak i przydróżka,,,,,,"Reż. Zofia Miklińska. I, 10 II 1989, 39'. Prem. 1985",
26975,1989,231,Spektakle fabularne TV,Proces,,,,,,"Tł. Bruno Schulz. Adapt. i reż. Agnieszka Holland, Laco Adamik. I, 18 II 1989, 120'. Prem. 1980",
26976,1989,231,Spektakle fabularne TV,Zamek,,,,,,"Tł. Krzysztof Radziwiłł, Kazimierz Truchanowski. Adapt. i reż. Marek Grzesiński. II, 16 XI 1989, 124'",
